name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Will Hughes,Watford,22,CM,2,8.0,258,5.0,0.60%,0,1.0,England,1,2,18,0,0
Lewis Cook,Bournemouth,20,CM,2,6.0,243,4.5,0.80%,17,1.0,England,0,1,2,0,0
Rolando Aarons,Newcastle+United,21,LW,1,0.75,170,4.5,0.10%,0,1.0,England,0,1,13,0,0
Adrian Mariappa,Watford,30,CB,3,1.0,201,4.0,5.40%,15,3.0,Jamaica,0,4,18,0,1
Gylfi Sigurdsson,Swansea,27,AM,1,25.0,861,8.5,8.70%,181,2.0,Iceland,0,3,16,0,0
Toby Alderweireld,Tottenham,28,CB,3,35.0,756,6.0,13.30%,120,2.0,Belgium,0,4,17,1,0
Ahmed Hegazy,West+Brom,26,CB,3,1.0,82,4.5,1.30%,0,4.0,Egypt,1,3,19,0,0
Costel Pantilimon,Watford,30,GK,4,3.0,268,4.5,0.20%,2,2.0,Romania,0,4,18,0,0
Diafra Sakho,West+Ham,27,CF,1,10.0,214,5.5,0.10%,12,4.0,Senegal,0,3,20,0,0
Jake Livermore,West+Brom,27,DM,2,7.0,564,5.0,0.20%,77,1.0,England,0,3,19,0,0
Nathan Dyer,Swansea,29,RW,1,3.5,313,4.5,0.10%,12,1.0,England,0,4,16,0,0
Pierre-Emile Hojbjerg,Southampton,21,CM,2,8.0,368,4.5,0.40%,38,2.0,Denmark,0,1,14,0,1
Gareth McAuley,West+Brom,37,CB,3,1.0,458,5.0,11.80%,131,2.0,Northern Ireland,0,6,19,0,0
Ciaran Clark,Newcastle+United,27,CB,3,5.0,273,4.5,0.90%,0,2.0,Ireland,0,3,13,0,0
Dwight Gayle,Newcastle+United,26,CF,1,10.0,1351,6.5,11.40%,0,1.0,England,0,3,13,0,0
Cedric Soares,Southampton,25,RB,3,15.0,338,5.0,16.40%,102,2.0,Portugal,0,3,14,0,0
Danny Welbeck,Arsenal,26,CF,1,15.0,1521,7.5,0.50%,37,1.0,England,0,3,1,1,0
Kelechi Iheanacho,Manchester+City,20,CF,1,15.0,1662,7.0,1.50%,52,4.0,Nigeria,0,1,11,1,0
Matt Phillips,West+Brom,26,RW,1,9.0,454,6.0,5.60%,115,2.0,Scotland,0,3,19,0,1
Michel Vorm,Tottenham,33,GK,4,4.0,252,5.0,0.10%,17,2.0,Netherlands,0,5,17,1,0
Shkodran Mustafi,Arsenal,25,CB,3,30.0,1877,5.5,4.00%,90,2.0,Germany,0,3,1,1,1
Pablo Zabaleta,West+Ham,32,RB,3,7.0,698,5.0,2.70%,45,3.0,Argentina,0,5,20,0,0
